"Model","Term","Estimate","Std_Error","t_statistic","p_value","Significant"
"y ~ x","(Intercept)",5.676475,5.864747,0.9679,"3.343e-01","ns"
"y ~ x","x",1.882148,0.116428,16.1658,"4.932e-38","***"
"z ~ x","(Intercept)",111.876612,8.348103,13.4014,"1.432e-29","***"
"z ~ x","x",-0.187228,0.165727,-1.1297,"2.600e-01","ns"
"z ~ y","(Intercept)",107.415115,6.750518,15.9121,"2.914e-37","***"
"z ~ y","y",-0.048705,0.06654,-0.732,"4.651e-01","ns"
"z ~ x + y","(Intercept)",111.772707,8.388346,13.3248,"2.680e-29","***"
"z ~ x + y","x",-0.221679,0.25304,-0.8761,"3.821e-01","ns"
"z ~ x + y","y",0.018304,0.101407,0.1805,"8.569e-01","ns"
"y ~ x + grupo","(Intercept)",8.388794,6.137959,1.3667,"1.733e-01","ns"
"y ~ x + grupo","x",1.862359,0.116765,15.9496,"2.932e-37","***"
"y ~ x + grupo","as.factor(grupo)B",-1.06367,2.521888,-0.4218,"6.737e-01","ns"
"y ~ x + grupo","as.factor(grupo)C",-4.16608,2.542013,-1.6389,"1.028e-01","ns"
"z ~ x + y + grupo","(Intercept)",105.760456,8.744456,12.0946,"1.729e-25","***"
"z ~ x + y + grupo","x",-0.237549,0.250974,-0.9465,"3.451e-01","ns"
"z ~ x + y + grupo","y",0.046005,0.101279,0.4542,"6.502e-01","ns"
"z ~ x + y + grupo","as.factor(grupo)B",3.8031,3.577438,1.0631,"2.891e-01","ns"
"z ~ x + y + grupo","as.factor(grupo)C",8.432524,3.628962,2.3237,"2.117e-02","*"
"z ~ x * y","(Intercept)",110.474327,33.256392,3.3219,"1.067e-03","**"
"z ~ x * y","x",-0.194808,0.712578,-0.2734,"7.848e-01","ns"
"z ~ x * y","y",0.032408,0.36398,0.089,"9.291e-01","ns"
"z ~ x * y","x:y",-0.000283,0.007008,-0.0404,"9.679e-01","ns"
"y ~ x * grupo","(Intercept)",3.924438,10.572914,0.3712,"7.109e-01","ns"
"y ~ x * grupo","x",1.951115,0.207221,9.4156,"1.411e-17","***"
"y ~ x * grupo","as.factor(grupo)B",-8.442436,14.656071,-0.576,"5.653e-01","ns"
"y ~ x * grupo","as.factor(grupo)C",15.367161,14.347331,1.0711,"2.855e-01","ns"
"y ~ x * grupo","x:as.factor(grupo)B",0.147523,0.28756,0.513,"6.085e-01","ns"
"y ~ x * grupo","x:as.factor(grupo)C",-0.400699,0.286146,-1.4003,"1.630e-01","ns"
